,ID,COMPANY,PROVINCE,geometry,index_right,Latitude,Longitude
4675,12315627,Shell Canada Limited,BRITISH COLUMBIA,POINT (-120.77153922562233 55.96965265709283),0,55.96965265709283,-120.77153922562233
4676,12315628,Shell Canada Limited,BRITISH COLUMBIA,POINT (-120.77156019283133 55.9696224781958),0,55.9696224781958,-120.77156019283133
4677,12315629,Shell Canada Limited,BRITISH COLUMBIA,POINT (-120.77158281074789 55.96959143128903),0,55.96959143128903,-120.77158281074789
4678,12315630,Shell Canada Limited,BRITISH COLUMBIA,POINT (-120.77160377789113 55.969561252385326),0,55.969561252385326,-120.77160377789113
4679,12315631,Shell Canada Limited,BRITISH COLUMBIA,POINT (-120.77162634428679 55.969531103585965),0,55.969531103585965,-120.77162634428679
4680,12315632,Shell Canada Limited,BRITISH COLUMBIA,POINT (-120.77144455317314 55.96881869962763),0,55.96881869962763,-120.77144455317314
4681,12315633,Shell Canada Limited,BRITISH COLUMBIA,POINT (-120.77146546855765 55.968789418868546),0,55.968789418868546,-120.77146546855765
4682,12315634,Shell Canada Limited,BRITISH COLUMBIA,POINT (-120.7714863823102 55.96876013804015),0,55.96876013804015,-120.7714863823102
4683,12315635,Shell Canada Limited,BRITISH COLUMBIA,POINT (-120.77150729751422 55.968730858168215),0,55.968730858168215,-120.77150729751422
4684,12315636,Shell Canada Limited,BRITISH COLUMBIA,POINT (-120.77152821120481 55.96870157733342),0,55.96870157733342,-120.77152821120481
4685,12315637,Ovintiv Canada ULC,BRITISH COLUMBIA,POINT (-120.63432817369977 55.881896405913736),0,55.881896405913736,-120.63432817369977
4687,12315639,Ovintiv Canada ULC,BRITISH COLUMBIA,POINT (-120.23510882793596 55.59114206513413),0,55.59114206513413,-120.23510882793596
4688,12315640,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-120.34745017817191 55.29548694646079),0,55.29548694646079,-120.34745017817191
4689,12315641,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-120.34721222488454 55.29551144054916),0,55.29551144054916,-120.34721222488454
